ProjectId,Project,ProjectType,ProjectCategory,City,Locality,SubLocality,Address,Landmark,Pincode,Configuration,BHK,PropertyCategory,PropertyType,PriceRaw,Price_INR,CarpetArea,Possession,Bathrooms,Balcony,ParkingType,FurnishedType,Lift,AgeOfProperty,Amenities,ProjectSummary,AboutProperty,MaintenanceCharges,FloorPlanImage,PropertyImages,Status,ProjectAge,ReraId,Slug
cmf53kkzy000fvcu8tx8jwjmr,Ashwini,RESIDENTIAL,STANDALONE,Not Specified,Not Specified,cmfdkuymm0001vc90iiyzkr8d,Mumbai chembur,Babys school,411017,,,RESIDENTIAL,1BHK,11111111,11111111.0,123.0,Ready,1,1.0,,UNFURNISHED,False,,Balcony,,jjhhhu,,https://pub-d28896f69c604ec5aa743cb0397740d9.r2.dev/1757584023815-67012c27580e3e23.jpg,"[""https://pub-d28896f69c604ec5aa743cb0397740d9.r2.dev/1756971672464-1e5179453b5df91d.jpg""]",UNDER_CONSTRUCTION,,"[""P99000056045""]",luxury-ashwini-ashoknagar-chembur-mumbai-675058
cmf5r6hv00001vxptnfichhfl,Pristine02,RESIDENTIAL,STANDALONE,Not Specified,Not Specified,cmfdn705v001pvc90uyle9m34,"sr no 13 beside godrej, opposite to mca stadium, sai nagar, mamurdi, pune ",Sai nagar ,412101,2BHK,2.0,RESIDENTIAL,2BHK,120000000,120000000.0,972.0,Not Specified,12,3.0,,UNFURNISHED,False,,Balcony,,about property ,faded ,https://pub-d28896f69c604ec5aa743cb0397740d9.r2.dev/1757011238520-ba6c9c4021ea321f.jpg,"[""https://pub-d28896f69c604ec5aa743cb0397740d9.r2.dev/1757011238541-c8a6e3aced460e18.jpg""]",READY_TO_MOVE,0.0,"[""P52100032109""]",pristine02-modelcolony-shivajinagar-pune-428955
cmfawdrno0007vc18l0fm0z2j,Gurukripa,RESIDENTIAL,COMPLEX,Not Specified,Not Specified,cmf51ix980003vcj0z7abv17k,"Sindhi Society, Near Swami Vivekanand Jr College, Chembur, Mumbai Harbour, Mumbai",Sindhi Society,400071,1BHK,1.0,RESIDENTIAL,1BHK,13000000,13000000.0,426.57,Not Specified,1,1.0,,UNFURNISHED,False,,Balcony,,na,,https://pub-d28896f69c604ec5aa743cb0397740d9.r2.dev/1757322391101-b4e4be9945434d29.jpg,"[""https://pub-d28896f69c604ec5aa743cb0397740d9.r2.dev/1757322391106-7c383f81d9c66290.jpg""]",UNDER_CONSTRUCTION,,"[""[\""P51800047648\""]""]",gurukripa-ashoknagar-chembur-mumbai-086047
cmfawdrno0007vc18l0fm0z2j,Gurukripa,RESIDENTIAL,COMPLEX,Not Specified,Not Specified,cmf51ix980003vcj0z7abv17k,"Sindhi Society, Near Swami Vivekanand Jr College, Chembur, Mumbai Harbour, Mumbai",Sindhi Society,400071,3BHK,3.0,RESIDENTIAL,3BHK,29000000,29000000.0,893.08,Not Specified,3,2.0,,UNFURNISHED,False,,Balcony,,na,,https://pub-d28896f69c604ec5aa743cb0397740d9.r2.dev/1757322391158-41329b8304cff17d.jpg,"[""https://pub-d28896f69c604ec5aa743cb0397740d9.r2.dev/1757322391167-19d3844213de86cb.jpg""]",UNDER_CONSTRUCTION,,"[""[\""P51800047648\""]""]",gurukripa-ashoknagar-chembur-mumbai-086047
cmfawdrno0007vc18l0fm0z2j,Gurukripa,RESIDENTIAL,COMPLEX,Not Specified,Not Specified,cmf51ix980003vcj0z7abv17k,"Sindhi Society, Near Swami Vivekanand Jr College, Chembur, Mumbai Harbour, Mumbai",Sindhi Society,400071,2BHK,2.0,RESIDENTIAL,2BHK,26000000,26000000.0,804.6,Not Specified,2,2.0,,UNFURNISHED,False,,Balcony,,na,,https://pub-d28896f69c604ec5aa743cb0397740d9.r2.dev/1757322391195-0e9c4aa442f80776.jpg,"[""https://pub-d28896f69c604ec5aa743cb0397740d9.r2.dev/1757322391202-e4d28b891dcb832f.jpg""]",UNDER_CONSTRUCTION,,"[""[\""P51800047648\""]""]",gurukripa-ashoknagar-chembur-mumbai-086047
cmfaxq2oo0020vc1806nmle00,Hari om,RESIDENTIAL,STANDALONE,Not Specified,Not Specified,cmfcec5ph007ivca007lzj3b3,"Cts 300, plot no 37, opposite midtown 71, Sindhi Society, Chembur, Mumbai, Maharashtra 400071",Sindhi Society,400069,1BHK,1.0,RESIDENTIAL,1BHK,13000000,13000000.0,443.37,Not Specified,1,1.0,,UNFURNISHED,False,,Balcony,,na,,https://pub-d28896f69c604ec5aa743cb0397740d9.r2.dev/1757324645437-975f7a8ecca1de6d.jpg,"[""https://pub-d28896f69c604ec5aa743cb0397740d9.r2.dev/1757324645448-dbde48f7805f3bd0.jpg""]",UNDER_CONSTRUCTION,,"[""P51800066536""]",hari-om-ashoknagar-chembur-mumbai-650559
cmfaxq2oo0020vc1806nmle00,Hari om,RESIDENTIAL,STANDALONE,Not Specified,Not Specified,cmfcec5ph007ivca007lzj3b3,"Cts 300, plot no 37, opposite midtown 71, Sindhi Society, Chembur, Mumbai, Maharashtra 400071",Sindhi Society,400069,2BHK,2.0,RESIDENTIAL,2BHK,19000000,19000000.0,644.11,Not Specified,2,2.0,,UNFURNISHED,False,,Balcony,,na,,https://pub-d28896f69c604ec5aa743cb0397740d9.r2.dev/1757324645448-970dda42c441c73b.jpg,"[""https://pub-d28896f69c604ec5aa743cb0397740d9.r2.dev/1757324645449-b2f826d061804b98.jpg""]",UNDER_CONSTRUCTION,,"[""P51800066536""]",hari-om-ashoknagar-chembur-mumbai-650559
cmfaxq2oo0020vc1806nmle00,Hari om,RESIDENTIAL,STANDALONE,Not Specified,Not Specified,cmfcec5ph007ivca007lzj3b3,"Cts 300, plot no 37, opposite midtown 71, Sindhi Society, Chembur, Mumbai, Maharashtra 400071",Sindhi Society,400069,3BHK,3.0,RESIDENTIAL,3BHK,23000000,23000000.0,798.57,Not Specified,3,2.0,,UNFURNISHED,False,,Balcony,,na,,https://pub-d28896f69c604ec5aa743cb0397740d9.r2.dev/1757324645450-abde5eb3211c0467.jpg,"[""https://pub-d28896f69c604ec5aa743cb0397740d9.r2.dev/1757324645451-d9b3e0a968cfc871.jpg""]",UNDER_CONSTRUCTION,,"[""P51800066536""]",hari-om-ashoknagar-chembur-mumbai-650559
cmfaycwy70036vc18ppmb8mwh,Om makarand heights,RESIDENTIAL,STANDALONE,Not Specified,Not Specified,cmfcewd9m007svca0b4pla35a,"104, Yashvant Seth Jadhav Marg, Gauri Shankar Wadi No. 2, Savitribai Phule Nagar, Pant Nagar, Ghatkopar East, Mumbai, Maharashtra 400075",Hind high school,400075,1BHK,1.0,RESIDENTIAL,1BHK,850000,850000.0,379.0,Ready,1,1.0,,UNFURNISHED,False,,Balcony,,na,,https://pub-d28896f69c604ec5aa743cb0397740d9.r2.dev/1757325712590-57c98e762d3e95c3.jpg,"[""https://pub-d28896f69c604ec5aa743cb0397740d9.r2.dev/1757325712591-aa79bad30786e10c.jpg""]",UNDER_CONSTRUCTION,,"[""P51800052217""]",om-makarand-heights-ashoknagar-chembur-mumbai-716337
cmfaycwy70036vc18ppmb8mwh,Om makarand heights,RESIDENTIAL,STANDALONE,Not Specified,Not Specified,cmfcewd9m007svca0b4pla35a,"104, Yashvant Seth Jadhav Marg, Gauri Shankar Wadi No. 2, Savitribai Phule Nagar, Pant Nagar, Ghatkopar East, Mumbai, Maharashtra 400075",Hind high school,400075,2BHK,2.0,RESIDENTIAL,2BHK,12000000,12000000.0,536.0,Ready,2,2.0,,UNFURNISHED,False,,Balcony,,na,,https://pub-d28896f69c604ec5aa743cb0397740d9.r2.dev/1757325712599-4bd849d13fb20425.jpg,"[""https://pub-d28896f69c604ec5aa743cb0397740d9.r2.dev/1757325712607-8e031215d719e572.jpg""]",UNDER_CONSTRUCTION,,"[""P51800052217""]",om-makarand-heights-ashoknagar-chembur-mumbai-716337
